,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
67,0.843,0.313,8,-12.564,1,0.158,0.478,0.943,0.113,0.447,74.01,audio_features,0xn73zR8yky1wVZv0hdvVY,spotify:track:0xn73zR8yky1wVZv0hdvVY,https://api.spotify.com/v1/tracks/0xn73zR8yky1wVZv0hdvVY,https://api.spotify.com/v1/audio-analysis/0xn73zR8yky1wVZv0hdvVY,168649,4
68,0.745,0.13,11,-12.589,0,0.0543,0.554,0.841,0.0686,0.314,99.074,audio_features,0arRQZG8MVlmzyc1Wbmh8K,spotify:track:0arRQZG8MVlmzyc1Wbmh8K,https://api.spotify.com/v1/tracks/0arRQZG8MVlmzyc1Wbmh8K,https://api.spotify.com/v1/audio-analysis/0arRQZG8MVlmzyc1Wbmh8K,140625,4
69,0.786,0.399,11,-10.985,1,0.057,0.284,0.9,0.0676,0.35,166.007,audio_features,1bW8IKNqSmC4RHihpGaYoc,spotify:track:1bW8IKNqSmC4RHihpGaYoc,https://api.spotify.com/v1/tracks/1bW8IKNqSmC4RHihpGaYoc,https://api.spotify.com/v1/audio-analysis/1bW8IKNqSmC4RHihpGaYoc,208193,4
70,0.628,0.128,0,-13.125,1,0.036,0.928,0.819,0.12,0.196,80.012,audio_features,1cL8Uwf50RQTjNNrsRe1cX,spotify:track:1cL8Uwf50RQTjNNrsRe1cX,https://api.spotify.com/v1/tracks/1cL8Uwf50RQTjNNrsRe1cX,https://api.spotify.com/v1/audio-analysis/1cL8Uwf50RQTjNNrsRe1cX,168000,4
71,0.57,0.264,1,-18.595,1,0.398,0.776,0.917,0.181,0.117,71.043,audio_features,6IvGEC1RlW9adLLuWKpTdy,spotify:track:6IvGEC1RlW9adLLuWKpTdy,https://api.spotify.com/v1/tracks/6IvGEC1RlW9adLLuWKpTdy,https://api.spotify.com/v1/audio-analysis/6IvGEC1RlW9adLLuWKpTdy,148732,4
72,0.671,0.0235,8,-13.353,1,0.0985,0.697,0.881,0.0993,0.656,116.073,audio_features,05EN1f3Tp35O9dmm8ZCxMu,spotify:track:05EN1f3Tp35O9dmm8ZCxMu,https://api.spotify.com/v1/tracks/05EN1f3Tp35O9dmm8ZCxMu,https://api.spotify.com/v1/audio-analysis/05EN1f3Tp35O9dmm8ZCxMu,109125,3
73,0.713,0.39,9,-12.229,1,0.0395,0.868,0.942,0.0884,0.288,86.999,audio_features,1k5E9ztZXfO2pY5ly73shO,spotify:track:1k5E9ztZXfO2pY5ly73shO,https://api.spotify.com/v1/tracks/1k5E9ztZXfO2pY5ly73shO,https://api.spotify.com/v1/audio-analysis/1k5E9ztZXfO2pY5ly73shO,216429,4
74,0.44,0.369,2,-17.115,1,0.0394,0.713,0.953,0.0979,0.123,99.965,audio_features,2lLdlshOROCDbFedbUhoPQ,spotify:track:2lLdlshOROCDbFedbUhoPQ,https://api.spotify.com/v1/tracks/2lLdlshOROCDbFedbUhoPQ,https://api.spotify.com/v1/audio-analysis/2lLdlshOROCDbFedbUhoPQ,233500,4
75,0.692,0.445,0,-10.413,0,0.0365,0.869,0.868,0.104,0.126,141.055,audio_features,6cqLwJqgjrwmgcN5vq4dld,spotify:track:6cqLwJqgjrwmgcN5vq4dld,https://api.spotify.com/v1/tracks/6cqLwJqgjrwmgcN5vq4dld,https://api.spotify.com/v1/audio-analysis/6cqLwJqgjrwmgcN5vq4dld,163404,4
76,0.494,0.683,5,-5.955,0,0.0346,0.653,0.0604,0.168,0.0559,139.993,audio_features,1B0haTCTmju6oUmIJozTvK,spotify:track:1B0haTCTmju6oUmIJozTvK,https://api.spotify.com/v1/tracks/1B0haTCTmju6oUmIJozTvK,https://api.spotify.com/v1/audio-analysis/1B0haTCTmju6oUmIJozTvK,171429,4
