,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
34,0.661,0.711,0,-11.037,1,0.0514,0.428,0.0221,0.132,0.889,116.836,audio_features,1krKp0OXeCH6SI5SXl8tu5,spotify:track:1krKp0OXeCH6SI5SXl8tu5,https://api.spotify.com/v1/tracks/1krKp0OXeCH6SI5SXl8tu5,https://api.spotify.com/v1/audio-analysis/1krKp0OXeCH6SI5SXl8tu5,297973,4
35,0.775,0.298,5,-14.661,0,0.0345,0.175,0.0,0.112,0.824,111.547,audio_features,2iftQA575wOPFU6VGU3XkJ,spotify:track:2iftQA575wOPFU6VGU3XkJ,https://api.spotify.com/v1/tracks/2iftQA575wOPFU6VGU3XkJ,https://api.spotify.com/v1/audio-analysis/2iftQA575wOPFU6VGU3XkJ,271267,4
36,0.767,0.675,0,-6.699,1,0.0337,0.146,0.0,0.0697,0.913,117.612,audio_features,5DcRDETkCSILfPTX02Bw6D,spotify:track:5DcRDETkCSILfPTX02Bw6D,https://api.spotify.com/v1/tracks/5DcRDETkCSILfPTX02Bw6D,https://api.spotify.com/v1/audio-analysis/5DcRDETkCSILfPTX02Bw6D,271480,4
37,0.662,0.693,7,-8.09,1,0.171,0.371,0.0,0.243,0.667,75.077,audio_features,2TQAKues8mUovMsp6u8gpn,spotify:track:2TQAKues8mUovMsp6u8gpn,https://api.spotify.com/v1/tracks/2TQAKues8mUovMsp6u8gpn,https://api.spotify.com/v1/audio-analysis/2TQAKues8mUovMsp6u8gpn,282667,4
38,0.88,0.527,4,-8.122,1,0.133,0.15,0.0447,0.0288,0.789,96.863,audio_features,2hn1lerQkPC6fOI0QFjr8r,spotify:track:2hn1lerQkPC6fOI0QFjr8r,https://api.spotify.com/v1/tracks/2hn1lerQkPC6fOI0QFjr8r,https://api.spotify.com/v1/audio-analysis/2hn1lerQkPC6fOI0QFjr8r,272400,4
39,0.745,0.728,6,-9.843,1,0.0574,0.00353,0.00109,0.099,0.623,103.013,audio_features,4wzZqzOKWhQkv9vTLHS4HP,spotify:track:4wzZqzOKWhQkv9vTLHS4HP,https://api.spotify.com/v1/tracks/4wzZqzOKWhQkv9vTLHS4HP,https://api.spotify.com/v1/audio-analysis/4wzZqzOKWhQkv9vTLHS4HP,386027,4
40,0.578,0.675,4,-14.388,0,0.0391,0.071,0.00638,0.0988,0.944,81.135,audio_features,2QRR9j7uTyK4nvt7lt5qOB,spotify:track:2QRR9j7uTyK4nvt7lt5qOB,https://api.spotify.com/v1/tracks/2QRR9j7uTyK4nvt7lt5qOB,https://api.spotify.com/v1/audio-analysis/2QRR9j7uTyK4nvt7lt5qOB,416733,4
41,0.798,0.577,0,-10.347,1,0.0777,0.0234,0.00112,0.0728,0.835,128.82,audio_features,5PM96PMKMfD1lLX2lryUsG,spotify:track:5PM96PMKMfD1lLX2lryUsG,https://api.spotify.com/v1/tracks/5PM96PMKMfD1lLX2lryUsG,https://api.spotify.com/v1/audio-analysis/5PM96PMKMfD1lLX2lryUsG,240093,4
42,0.759,0.675,3,-14.366,0,0.0422,0.0261,0.0341,0.431,0.866,127.522,audio_features,179SfVFJ0ZN41toTxnpgRD,spotify:track:179SfVFJ0ZN41toTxnpgRD,https://api.spotify.com/v1/tracks/179SfVFJ0ZN41toTxnpgRD,https://api.spotify.com/v1/audio-analysis/179SfVFJ0ZN41toTxnpgRD,543560,4
43,0.785,0.563,6,-5.583,0,0.0332,0.205,1.28e-06,0.128,0.966,103.057,audio_features,7KFJ33pZ8E3yPT4yxde5aQ,spotify:track:7KFJ33pZ8E3yPT4yxde5aQ,https://api.spotify.com/v1/tracks/7KFJ33pZ8E3yPT4yxde5aQ,https://api.spotify.com/v1/audio-analysis/7KFJ33pZ8E3yPT4yxde5aQ,236157,4
