,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
91,0.748,0.589,9,-5.954,1,0.0943,0.0284,0.0,0.096,0.474,99.057,audio_features,7jb6WA0vEXNT3kjGuPn2Te,spotify:track:7jb6WA0vEXNT3kjGuPn2Te,https://api.spotify.com/v1/tracks/7jb6WA0vEXNT3kjGuPn2Te,https://api.spotify.com/v1/audio-analysis/7jb6WA0vEXNT3kjGuPn2Te,204733,4
92,0.675,0.698,5,-4.234,0,0.298,0.184,0.0,0.123,0.564,166.106,audio_features,7jbCKEoQI7RutLuvJvA2pT,spotify:track:7jbCKEoQI7RutLuvJvA2pT,https://api.spotify.com/v1/tracks/7jbCKEoQI7RutLuvJvA2pT,https://api.spotify.com/v1/audio-analysis/7jbCKEoQI7RutLuvJvA2pT,177091,4
93,0.721,0.391,9,-11.788,0,0.055,0.0723,0.939,0.109,0.0679,118.001,audio_features,7jckCq7OQyrUHteZOq9Y2t,spotify:track:7jckCq7OQyrUHteZOq9Y2t,https://api.spotify.com/v1/tracks/7jckCq7OQyrUHteZOq9Y2t,https://api.spotify.com/v1/audio-analysis/7jckCq7OQyrUHteZOq9Y2t,136271,4
94,0.776,0.675,8,-6.224,0,0.266,0.00196,0.0,0.227,0.27,131.984,audio_features,7jslhIiELQkgW9IHeYNOWE,spotify:track:7jslhIiELQkgW9IHeYNOWE,https://api.spotify.com/v1/tracks/7jslhIiELQkgW9IHeYNOWE,https://api.spotify.com/v1/audio-analysis/7jslhIiELQkgW9IHeYNOWE,217707,4
95,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,audio_features,7ju97lgwC2rKQ6wwsf9no9,spotify:track:7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/tracks/7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/audio-analysis/7ju97lgwC2rKQ6wwsf9no9,182200,4
96,0.514,0.873,0,-4.939,1,0.0528,0.0124,0.0,0.112,0.459,124.018,audio_features,7k5EcszNwUturoU20TTy1G,spotify:track:7k5EcszNwUturoU20TTy1G,https://api.spotify.com/v1/tracks/7k5EcszNwUturoU20TTy1G,https://api.spotify.com/v1/audio-analysis/7k5EcszNwUturoU20TTy1G,247347,4
97,0.265,0.356,1,-18.159,0,0.23,0.00354,0.913,0.172,0.499,128.406,audio_features,7kGzg8RKS5Q2CPIRqxKYWv,spotify:track:7kGzg8RKS5Q2CPIRqxKYWv,https://api.spotify.com/v1/tracks/7kGzg8RKS5Q2CPIRqxKYWv,https://api.spotify.com/v1/audio-analysis/7kGzg8RKS5Q2CPIRqxKYWv,116950,4
98,0.802,0.706,0,-5.697,1,0.047,0.0212,0.268,0.115,0.768,125.005,audio_features,7kHu1JTyNDfatjMOD82Yh6,spotify:track:7kHu1JTyNDfatjMOD82Yh6,https://api.spotify.com/v1/tracks/7kHu1JTyNDfatjMOD82Yh6,https://api.spotify.com/v1/audio-analysis/7kHu1JTyNDfatjMOD82Yh6,143253,4
99,0.654,0.796,2,-4.761,0,0.122,0.0188,0.0,0.0948,0.491,108.854,audio_features,7kJlTKjNZVT26iwiDUVhRm,spotify:track:7kJlTKjNZVT26iwiDUVhRm,https://api.spotify.com/v1/tracks/7kJlTKjNZVT26iwiDUVhRm,https://api.spotify.com/v1/audio-analysis/7kJlTKjNZVT26iwiDUVhRm,178583,4
0,0.456,0.696,5,-10.0,1,0.0653,0.291,0.000207,0.0853,0.508,142.156,audio_features,7kNNylJ1kswWbHeRM6UDuE,spotify:track:7kNNylJ1kswWbHeRM6UDuE,https://api.spotify.com/v1/tracks/7kNNylJ1kswWbHeRM6UDuE,https://api.spotify.com/v1/audio-analysis/7kNNylJ1kswWbHeRM6UDuE,428133,4
1,0.451,0.81,7,-6.456,1,0.473,0.369,0.0,0.123,0.451,82.918,audio_features,7kYqWxsKFTQYSUkEmkepFF,spotify:track:7kYqWxsKFTQYSUkEmkepFF,https://api.spotify.com/v1/tracks/7kYqWxsKFTQYSUkEmkepFF,https://api.spotify.com/v1/audio-analysis/7kYqWxsKFTQYSUkEmkepFF,262280,4
2,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,audio_features,7kfTqGMzIHFWeBeOJALzRf,spotify:track:7kfTqGMzIHFWeBeOJALzRf,https://api.spotify.com/v1/tracks/7kfTqGMzIHFWeBeOJALzRf,https://api.spotify.com/v1/audio-analysis/7kfTqGMzIHFWeBeOJALzRf,235987,4
3,0.652,0.754,9,-4.929,0,0.208,0.00616,0.0,0.12,0.429,90.12,audio_features,7ktPfqU1DTV6I3DTuLa5f7,spotify:track:7ktPfqU1DTV6I3DTuLa5f7,https://api.spotify.com/v1/tracks/7ktPfqU1DTV6I3DTuLa5f7,https://api.spotify.com/v1/audio-analysis/7ktPfqU1DTV6I3DTuLa5f7,285307,4
4,0.664,0.602,4,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049,audio_features,7l94dyN2hX9c6wWcZQuOGJ,spotify:track:7l94dyN2hX9c6wWcZQuOGJ,https://api.spotify.com/v1/tracks/7l94dyN2hX9c6wWcZQuOGJ,https://api.spotify.com/v1/audio-analysis/7l94dyN2hX9c6wWcZQuOGJ,235947,3
5,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,audio_features,7lGKEWMXVWWTt3X71Bv44I,spotify:track:7lGKEWMXVWWTt3X71Bv44I,https://api.spotify.com/v1/tracks/7lGKEWMXVWWTt3X71Bv44I,https://api.spotify.com/v1/audio-analysis/7lGKEWMXVWWTt3X71Bv44I,193547,4
6,0.27,0.964,6,-4.545,1,0.0866,3.28e-05,0.0247,0.525,0.325,99.731,audio_features,7lMFAK8dv0QkWpIlZcWQlJ,spotify:track:7lMFAK8dv0QkWpIlZcWQlJ,https://api.spotify.com/v1/tracks/7lMFAK8dv0QkWpIlZcWQlJ,https://api.spotify.com/v1/audio-analysis/7lMFAK8dv0QkWpIlZcWQlJ,255231,3
7,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4
8,0.387,0.442,0,-7.086,1,0.0352,0.19,0.0,0.0788,0.382,169.481,audio_features,7lWF2mVr1KKbVnaT2nSlPo,spotify:track:7lWF2mVr1KKbVnaT2nSlPo,https://api.spotify.com/v1/tracks/7lWF2mVr1KKbVnaT2nSlPo,https://api.spotify.com/v1/audio-analysis/7lWF2mVr1KKbVnaT2nSlPo,185600,4
9,0.918,0.586,1,-2.89,1,0.133,0.0783,0.0,0.145,0.779,95.517,audio_features,7lgvU7WnwcNZ8dbGUz8yhP,spotify:track:7lgvU7WnwcNZ8dbGUz8yhP,https://api.spotify.com/v1/tracks/7lgvU7WnwcNZ8dbGUz8yhP,https://api.spotify.com/v1/audio-analysis/7lgvU7WnwcNZ8dbGUz8yhP,288200,4
10,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,audio_features,7lidXGPXPYLNThITAOTlkK,spotify:track:7lidXGPXPYLNThITAOTlkK,https://api.spotify.com/v1/tracks/7lidXGPXPYLNThITAOTlkK,https://api.spotify.com/v1/audio-analysis/7lidXGPXPYLNThITAOTlkK,205473,4
11,0.699,0.507,0,-6.784,0,0.36,0.0508,0.705,0.0693,0.605,185.498,audio_features,7lkouEWhQuhBtNbukl3JGf,spotify:track:7lkouEWhQuhBtNbukl3JGf,https://api.spotify.com/v1/tracks/7lkouEWhQuhBtNbukl3JGf,https://api.spotify.com/v1/audio-analysis/7lkouEWhQuhBtNbukl3JGf,57240,4
